Partial Array Size, Num Uncov Int, Num Edges
6240,5320,10752824
6240,5202,10280450
6240,5276,10564507
6240,5346,10836779
6240,5371,10957692
6240,5385,10988461
6245,5153,10088014
6245,5498,11447776
6245,5397,11043663
6245,5290,10635042
6245,5041,9647521
6245,5429,11183499
6245,5385,11019346
6245,5339,10809861
6245,5628,11967734
6245,5387,11028369
6250,5165,10126669
6250,5335,10815810
6250,5322,10741810
6250,4998,9510640
6250,5235,10402932
6250,4888,9091916
6250,5159,10092858
6250,4958,9362571
6250,5385,10982826
6250,5344,10845282
6255,5181,10182644
6255,5180,10140040
6255,5393,11031265
6255,5285,10614213
6255,5241,10451279
6255,5341,10817664
6255,5121,9973192
6255,4968,9389775
6255,5062,9724294
6255,5029,9600228
6260,5261,10490989
6260,5181,10171668
6260,4898,9115699
6260,4799,8758120
6260,5207,10296653
6260,5172,10139977
6260,4871,9008897
6260,5134,10015986
6260,5276,10564137
6260,5218,10308592
6265,5379,10961243
6265,5139,10008584
6265,5251,10480578
6265,5390,10994486
6265,5113,9922682
6265,4896,9122584
6265,5181,10179115
6265,5333,10780794
6265,5130,10002273
6265,5458,11273549
6270,4732,8509843
6270,5111,9937647
6270,4932,9231037
6270,5058,9698913
6270,5240,10428203
6270,5051,9707214
6270,5033,9627371
6270,5090,9844798
6270,5313,10680974
6270,5457,11306027
6275,4908,9159838
6275,5248,10438458
6275,5145,10016240
6275,4900,9117790
6275,5097,9863587
6275,5459,11270974
6275,5262,10476324
6275,5432,11183128
6275,4892,9089321
6275,5237,10408013
6280,5093,9831496
6280,4805,8778653
6280,5316,10658783
6280,5120,9917504
6280,5110,9864326
6280,5251,10466894
6280,5064,9719538
6280,5361,10894408
6280,5229,10364064
6280,4999,9493410
6285,5131,9971041
6285,5154,10073983
6285,5459,11317250
6285,5062,9728272
6285,4905,9136220
6285,4801,8758053
6285,5033,9607833
6285,4953,9313301
6285,4883,9057014
6285,5113,9944583
6290,4935,9263503
6290,4820,8822237
6290,4893,9081302
6290,5086,9826879
6290,5187,10202313
6290,5027,9586709
6290,5247,10438021
6290,4842,8895381
6290,4891,9090216
6290,4983,9455297
6295,5081,9820801
6295,5229,10385556
6295,5003,9517548
6295,5085,9837635
6295,5066,9729491
6295,4923,9203756
6295,5014,9538441
6295,5070,9722146
6295,4623,8110232
6295,4977,9362231
6300,5048,9700406
6300,5046,9656337
6300,4886,9025387
6300,5082,9812806
6300,4947,9286703
6300,4607,8064000
6300,5113,9888559
6300,5228,10360763
6300,4683,8335546
6300,5052,9669691
6305,4786,8712703
6305,5013,9535045
6305,4884,9066329
6305,4933,9222387
6305,4948,9287224
6305,4739,8511671
6305,5273,10518697
6305,4779,8686959
6305,4986,9429281
6305,5068,9736040
6310,4951,9268585
6310,4898,9131881
6310,4967,9365302
6310,4864,8978800
6310,5023,9572200
6310,4844,8902444
6310,4936,9206881
6310,5096,9863713
6310,5097,9814257
